Date,Open,High,Low,Close,Adj Close,Volume
2019-01-03,0.266350,0.266950,0.261500,0.266350,0.266350,5974
2019-01-04,0.268450,0.269500,0.263800,0.268450,0.268450,5152
2019-01-06,null,null,null,null,null,null
2019-01-07,0.267950,0.270500,0.267050,0.267950,0.267950,5984
2019-01-08,0.268900,0.269550,0.267050,0.268900,0.268900,5710
2019-01-09,0.270650,0.271700,0.268950,0.270650,0.270650,2376
2019-01-10,0.268950,0.271700,0.268200,0.268950,0.268950,3071
2019-01-11,0.269150,0.270750,0.267800,0.269150,0.269150,4863
2019-01-13,null,null,null,null,null,null
2019-01-14,0.270600,0.271650,0.267600,0.270600,0.270600,3011
2019-01-15,0.268400,0.270700,0.267850,0.268400,0.268400,2350
2019-01-16,0.268250,0.269450,0.267350,0.268250,0.268250,3315
2019-01-17,0.266700,0.268100,0.264900,0.266700,0.266700,2560
2019-01-18,0.265400,0.268100,0.265000,0.265400,0.265400,4234
2019-01-20,null,null,null,null,null,null
2019-01-22,0.264400,0.266800,0.261300,0.264400,0.264400,3122
2019-01-23,0.265000,0.266200,0.262250,0.265000,0.265000,5445
2019-01-24,0.265150,0.267450,0.263500,0.265150,0.265150,2477
2019-01-25,0.266800,0.267400,0.265150,0.266800,0.266800,2915
2019-01-27,null,null,null,null,null,null
2019-01-28,0.265400,0.266750,0.264100,0.265400,0.265400,1287
2019-01-29,0.268350,0.268950,0.264950,0.268350,0.268350,4991
2019-01-30,0.268450,0.272750,0.267700,0.268450,0.268450,8224
2019-01-31,0.273850,0.273800,0.272800,0.273850,0.273850,2808
2019-02-01,0.273100,0.274750,0.271300,0.273100,0.273100,4131
2019-02-03,null,null,null,null,null,null
2019-02-04,0.272500,0.273600,0.270850,0.272500,0.272500,4884
2019-02-05,0.272250,0.272800,0.271050,0.272250,0.272250,1493
2019-02-06,0.270150,0.272250,0.268800,0.270150,0.270150,1498
2019-02-07,0.269000,0.270150,0.267300,0.269000,0.269000,3705
2019-02-08,0.267600,0.269600,0.266400,0.267600,0.267600,2674
2019-02-10,null,null,null,null,null,null
2019-02-11,0.265500,0.268500,0.264650,0.265500,0.265500,2089
